,chanel,week_3,week_2,week_1,week_52,week_51
272,VH Bing Mobile tier1,89190.0,104055.0,103935.0,102532.0,71504.0
273,VH Bing Mobile tier1 Ethnic,205353.0,239557.0,238181.0,223388.0,145724.0
274,VH Bing Mobile tier1 Marriage,9324.0,10878.0,10878.0,10878.0,7770.0
275,VH Bing Mobile tier2,50754.0,59211.0,58902.0,55749.0,37015.0
276,VH Bing Mobile tier2 Ethnic,91644.0,106918.0,106201.0,99562.0,65801.0
277,VH Bing Mobile tier2 Marriage,6948.0,8106.0,8106.0,8106.0,5790.0
278,VH Bing Mobile top2,510.0,595.0,585.0,494.0,303.0
279,VH Bing Mobile top2 Ethnic,630.0,735.0,735.0,735.0,513.0
280,VH Bing Mobile top3 Ethnic,4668.0,5446.0,5435.0,5298.0,3685.0
281,VH Desktop GDN FR,25264.0,29477.0,29475.0,29470.0,21051.0
282,VH Desktop GDN GE,54294.0,63350.0,63352.0,63343.0,45247.0
283,VH Desktop GDN Smart ads,240624.0,280728.0,280730.0,280732.0,200515.0
284,VH Desktop GDN Smart ads top1,70812.0,82614.0,82614.0,82614.0,59010.0
285,VH Desktop GDN Smart ads top2,2190.0,2555.0,2555.0,2555.0,1825.0
286,VH Desktop GDN Smart ads top6,55446.0,64687.0,64687.0,64687.0,46205.0
287,VH Desktop GDN UK,282738.0,329861.0,329863.0,329848.0,235601.0
288,VH Desktop GDN USA,1279649.0,1492864.0,1492821.0,1492777.0,1066245.0
289,VH Desktop GDN top1,566513.0,660901.0,660885.0,660861.0,472031.0
290,VH Desktop GDN top2,74271.0,86646.0,86632.0,86632.0,61882.0
291,VH Desktop GDN top3,66228.0,77266.0,77266.0,77266.0,55190.0
292,VH Desktop GDN top5,124356.0,145084.0,145075.0,145080.0,103627.0
293,VH Desktop GDN top6,207367.0,241929.0,241929.0,241926.0,172802.0
294,VH Desktop GSP FR,15348.0,17906.0,17906.0,17906.0,12790.0
295,VH Desktop GSP GE,11292.0,13174.0,13174.0,13174.0,9410.0
296,VH Desktop GSP UK,116090.0,135438.0,135423.0,135415.0,96723.0
