,id_partner,Cost_14,Cost_30,Cost_60
55,Beeclick_mobile,4.0006277203015355,3.829609700266507,3.7738669532833273
127,Shift44,6.704318436113191,6.827436087227406,6.53059103995665
40,Adsimilis,5.629823980184053,5.666005480452312,5.484729240421119
69,Clickbooth_email,6.700965004975257,6.4823054369945785,6.589100410726152
170,ls_cpamatica_email,4.9279597825754715,4.906371872118603,4.9977133068147515
126,Secco_mobile_email,4.515194594120802,4.609283996700501,4.5998166613111575
32,7click_email,4.866470279157558,4.866470279157558,4.888290517640259
75,Clickdealer,5.129124840434966,5.172928074292162,5.172928074292162
82,DBM_AU/NZ_mob,9.809267111458333,9.618940737254903,8.866852197926633
221,vd_PrimeDemand,10.020829687961117,10.028168320226364,10.167409059103031
81,DBM_AU/NZ,10.224537011458333,9.98995894122807,9.988392160833332
1,10,4.043358189250663,4.170682591824506,4.279273007208118
151,cpamatica_mix,2.5330603534787364,2.556724813836497,2.5736053993960426
88,DBM_Scand_mob,12.145033703333334,11.432937561764707,12.948169887499997
89,DBM_UK,7.135982195774597,7.915389702047797,7.550969418041824
85,DBM_FR/GE,10.570754147066943,12.064461943404488,11.974861416434024
177,rt_DBM,7.400896523435948,6.7676043372369135,6.697399240492945
11,29,4.693636847548943,4.878170686248008,4.9807744448677695
67,Clickbooth,2.762222837096421,2.783699670940196,2.762543478053294
211,vd_CPAmatica_email,8.53449119923116,8.375362232271126,8.290702367152162
214,vd_CPAmatica_mobile_email,6.2039610881888345,6.113096510623889,6.830585365750702
84,DBM_CA_mob,6.877648000060652,6.9502753731755496,7.131817942353487
94,EnvyusMedia,6.570202064660004,6.551999076350968,6.617936448659777
86,DBM_FR/GE_mob,30.408533426732358,26.374391807235074,22.0228074434412
125,Secco_email,6.389831257834692,6.406964225606498,6.520222190058911
83,DBM_CA,7.787695700857862,7.684763661657019,7.602393880340593
2,1020,1.6982210149335524,1.7492321945960363,1.8337500540641067
152,cpamatica_mobile,1.6943629057815979,1.745333364381641,1.7404724001143776
6,1020n,2.00643481621167,2.0104459356932445,2.021819727202835
90,DBM_UK_mob,6.7096092106439835,6.637013708557631,6.679751127029503
155,cpamatica_valid,3.5126204742536222,3.4970749217963086,3.4980304728925526
49,Affiliaxe_non_adult_valid,5.779807111666365,5.879450110690626,5.955382256004033
34,9,1.9193957849371026,1.8236837944638145,1.8146166992775543
103,Matomy_internal,7.10794078586742,7.083228869940151,6.899945308095047
65,CPATrend_non_adult_valid,7.301707405850384,7.365098867661955,7.426142133554172
180,rt_dbm_top1,7.6115089460700665,7.808516989855911,7.613599732394833
87,DBM_Scand,10.543323720757996,10.218933902879982,10.140753948115924
139,ac_iDrive_email,4.076813665305521,4.202451259631918,4.456175015667524
114,MundoMedia_non_adult_valid,7.909006868324446,7.957266533644054,7.995746481355041
91,DBM_mob,5.594678937617902,6.00114995859517,5.99945359933726
116,Primedemand,8.455122584677863,8.37242990505931,8.450709838686706
179,rt_bing,3.309198594595765,3.4160486642023824,3.499079159921571
148,cpamatica_email,7.236142030607167,7.315059900637678,7.332739739360805
66,CPAmatica_email_mobile,5.904310286646255,5.952323971126171,6.0232958525694125
104,Matomy_mobile,5.685433610679551,5.53022256985973,5.534749285573174
133,W4_non_adult_valid,11.164727644174583,11.022679816647956,11.077222846539774
80,DBM,11.17951555245227,10.933992816035891,10.726065539082382
144,bing,9.607981864500282,9.616855449410787,9.60325636221153
9,14186,15.200733908693273,14.997882420500034,15.064657700385398
131,W4_mobile,5.691611292064331,5.73811637581912,5.771648453090751
157,email_partner1,6.820939451527158,6.8227369878863815,6.8211686236160896
